,asset_id,name,owner,seller,buyer,burnable,date,price_usd,media,coll_name,coll_author,coll_market_fee
420949,1099526173484,Amed Rosario,.rtre.wam,pu1be.wam,.rtre.wam,True,2021-10-25,0.38,https://ipfs.atomichub.io/ipfs/QmeUc3zvUR1vRP676Kuy1YZskWTX2Eusht3Z9NUo5k48ne/Common/Base%20Fronts/topps_series1_base_nym_amed_rosario.jpg,mlb.topps,mlb.topps,0.06
421042,1099568451112,SS3 Underground,otoqw.wam,.ebqw.wam,otoqw.wam,True,2021-10-25,0.1,https://ipfs.atomichub.io/ipfs/QmXPLtyNx2xCjTKdu5PnmTQFwpKNMF8fbYPQVsxz9wgPst,exitlimbowax,exitlmbrhino,0.08
421072,1099568476072,MS1 Cockroach,jgx2..c.wam,.ebqw.wam,ejhbe.wam,True,2021-11-03,4.69,https://ipfs.atomichub.io/ipfs/QmcsE8jb8RqXjuVEX4Br1LDzKL2X4swBkbZzARp8JyLkym,exitlimbowax,exitlmbrhino,0.08
421095,1099538887610,CHEO 47,xkugk.wam,4ourq.wam,xkugk.wam,True,2021-10-25,0.23,https://ipfs.atomichub.io/ipfs/QmUfzgS6HTbopZJrQgvX5LYeFJKeX8p2UkY22U1WeFL8qA/cards/rare/047.gif,graffiti.r2,graffiti.r2,0.08
421106,1099527500479,Mike Drop,gpfay.wam,cljba.wam,gpfay.wam,True,2021-11-16,2.96,https://ipfs.atomichub.io/ipfs/QmRfRQ17WhNTFsL1s1qTK6poN6MKAe1SnAbRS3q4cGEbky/cards/mythic/20a.gif,mutants.r2,mutants.r2,0.08
421265,1099560625270,Who the fuck is Adam?,hhyb4.wam,tvsba.wam,yhcs.wam,True,2021-10-31,0.25,https://ipfs.atomichub.io/ipfs/QmdWLTMWazJ2oeud1zgPBR6sigJ2smDcGkN18icmE8Gz8X,glummybears1,mi3r2.wam,0.1
421270,1099543318995,Parasite 005 ,.f4uc.wam,h1ub4.wam,.f4uc.wam,True,2021-10-25,0.0,https://ipfs.atomichub.io/ipfs/QmSpLx5Nz1bzccmei6R6jKLyCgHXBXnvEnzFp8j6Ef29nk,cryptocrypt2,ud2b4.wam,0.09
421362,1099570267482,Edson Arantes do Nascimento,y4ixy.wam,2ekfk.wam,3hzrs.wam,True,2021-10-25,0.0,https://ipfs.atomichub.io/ipfs/Qmaexn9dHc3WjNWrT88TooUb2JbtQrd5rsquzm3hPAQ95h,legendsfootb,2ekfk.wam,0
421391,1099569348693,Octome Promo Sticker,fzxh4.wam,nmbrm.wam,shine.gm,True,2021-10-25,40.39,https://ipfs.atomichub.io/ipfs/QmUro65BBrGbq2yceBLJx5qH9mfbwPze46ZDJ4S2WHMVh2,beastgardens,beastgardens,0.09
421405,1099518331724,Crypto Kraken,xkugk.wam,mafia,xkugk.wam,True,2021-10-25,3.91,https://ipfs.atomichub.io/ipfs/QmaSDcwqoqpmM4VfPPY168aPVnUnfnSPvpPNdnhzj3SHiL,ultrarare,ultrarare,0.08
421463,1099553886066,Litecoin,4lrv2.wam,h5.r4.wam,4lrv2.wam,True,2021-10-25,1.25,https://ipfs.atomichub.io/ipfs/QmbYrXcNjMDJEnt46T8M4eXaRZgraKokoute4A9n2arX5S,kaleidabang3,rjar4.wam,0.06
421486,1099543420473,Sir Butch Van Steak,phantom.gm,mvcry.wam,dm4h2.wam,True,2021-10-26,0.78,https://ipfs.atomichub.io/ipfs/QmbVnKYBLQHdafuhgNbCesYgWnN569nu2Zes85g8nzkWCZ,cryptosharks,mo.r4.wam,0.1
421506,1099540580623,Jack Of Clubs,ce5hg.wam,mvcry.wam,ce5hg.wam,True,2021-10-25,0.27,https://ipfs.atomichub.io/ipfs/QmfD5enFbKtXny6t7LcndgG9R79n5EebWCx9sDyw5syQy6,cryptopuppie,v.dr4.wam,0.08
421507,1099540580837,Ten,ce5hg.wam,mvcry.wam,ce5hg.wam,True,2021-10-25,0.27,https://ipfs.atomichub.io/ipfs/QmW3evrku2zzW7H6UnbELEpy771AUgBdLjUPBbVcpTUmCU,cryptopuppie,v.dr4.wam,0.08
421508,1099540588258,King,ce5hg.wam,mvcry.wam,ce5hg.wam,True,2021-10-25,0.27,https://ipfs.atomichub.io/ipfs/QmY3rnvQgf4nmhLMGS3p5hdnoBTzvdAc2gS7MKy9cvEngx,cryptopuppie,v.dr4.wam,0.08
421581,1099520661739,Captain of the Boat,gnebw.wam,bh4aw.wam,ydjl4.wam,True,2021-10-25,5.08,https://ipfs.atomichub.io/ipfs/Qmac8xKz9yfx3FhHi2YTJ9gDwg11ZtvT7wEM9Vh6UxuyY6/Cards/03%20Flip/Nimoy_Cards_Flip_32.gif,nimoy,nimoy,0.06
